Project Name,Project Link
Michigan Drupal,https://opencollective.com/michigan-drupal
Babel Starter Kit,https://opencollective.com/babel-starter-kit
The New Citizen Europe,https://opencollective.com/thenewcitizen-europe
React Native Firebase,https://opencollective.com/react-native-firebase
skatejs,https://opencollective.com/skatejs
GrapesJS,https://opencollective.com/grapesjs
TechWo,https://opencollective.com/techwo
Simply Secure's Underexposed,https://opencollective.com/underexposed
FreeRideToVote,https://opencollective.com/freeridetovote
Code for Denver,https://opencollective.com/codefordenver
Laravel Tenancy,https://opencollective.com/tenancy
Micro Mobility Center,https://opencollective.com/micro-mobility-center
Octobox,https://opencollective.com/octobox
YOURLS,https://opencollective.com/yourls
Radarr,https://opencollective.com/radarr
lem,https://opencollective.com/lem
Secure Scuttlebutt Consortium Collective,https://opencollective.com/secure-scuttlebutt-consortium
Internet Freedom Festival Swag,https://opencollective.com/internetffswag
Green me Baby,https://opencollective.com/green-me-baby
Internet Freedom Festival,https://opencollective.com/internetfreedomfestival
Fody,https://opencollective.com/fody
celery,https://opencollective.com/celery
24pullrequests,https://opencollective.com/24pullrequests
Decoupled Days,https://opencollective.com/decoupled-days
WWCode Bristol,https://opencollective.com/wwcodebristol
The Swing Dance Cooperative,https://opencollective.com/swing
WWCode DFW,https://opencollective.com/wwcodedallas
satellizer,https://opencollective.com/satellizer
WWCode Delhi,https://opencollective.com/wwcodedelhi
WWCode Salt Lake City,https://opencollective.com/wwcodesaltlakecity
riot,https://opencollective.com/riot
noble,https://opencollective.com/noble
Silhouette,https://opencollective.com/silhouette
Django Girls Helsinki,https://opencollective.com/djangohelsinki
WWCode Bangalore,https://opencollective.com/wwcodebangalore
gitea,https://opencollective.com/gitea
flow-for-vscode,https://opencollective.com/flow-for-vscode
Solidus,https://opencollective.com/solidus
hospitalrun,https://opencollective.com/hospitalrun
Women Who Code Sofia,https://opencollective.com/wwcodesofia
Strapi,https://opencollective.com/strapi
html-webpack-plugin,https://opencollective.com/html-webpack-plugin
Open Source Design,https://opencollective.com/opensourcedesign
cheerio,https://opencollective.com/cheerio
coconut,https://opencollective.com/coconut
Chai,https://opencollective.com/chaijs
Women Who Code Singapore,https://opencollective.com/wwcodesingapore
Playworks,https://opencollective.com/playworkskerryproject
Yeoman,https://opencollective.com/yeoman
Open Farm,https://opencollective.com/openfarm
PDXNode,https://opencollective.com/pdxnode
Colly,https://opencollective.com/colly
WWCode Santiago,https://opencollective.com/wwcodesantiago
React Starter Kit for Firebase,https://opencollective.com/react-firebase-starter
Serverless San Francisco,https://opencollective.com/serverless-sf
offline-plugin,https://opencollective.com/offline-plugin
WWCode Medellín,https://opencollective.com/wwcodemedellin
BootstrapCDN,https://opencollective.com/getbootstrapcdn
WWCode Tokyo,https://opencollective.com/wwcodetokyo
WWCode Greenville,https://opencollective.com/wwcodegreenville
#NoMuslimBan,https://opencollective.com/nomuslimban
react-virtualized,https://opencollective.com/react-virtualized
angular-fullstack,https://opencollective.com/angular-fullstack
Tech for Good New Zealand,https://opencollective.com/techforgoodnz
GoSublime,https://opencollective.com/gosublime
Better Media,https://opencollective.com/bettermediauk
Charlotte Devs,https://opencollective.com/charlottedevs
NOVA Web Development,https://opencollective.com/nova-web-development
Vulcan,https://opencollective.com/vulcan
CaptainFact,https://opencollective.com/captainfact_io
Open Chemistry,https://opencollective.com/open-chemistry
AVL Futures,https://opencollective.com/avlfutures
The Verdigris Ensemble,https://opencollective.com/verdigrismusic
React Toolbox!,https://opencollective.com/react-toolbox
WWCode Dublin,https://opencollective.com/wwcodedublin
shields.io,https://opencollective.com/shields
Drupal Utah,https://opencollective.com/drupalutah
Nim,https://opencollective.com/nim
MahApps.Metro,https://opencollective.com/mahappsmetro
Nodemailer,https://opencollective.com/nodemailer
Food for Thought,https://opencollective.com/foodforthought
WWCode Accra,https://opencollective.com/wwcodeaccra
CodeBuddies,https://opencollective.com/codebuddies
document-register-element,https://opencollective.com/document-register-element
LaPrimaire.org,https://opencollective.com/laprimaire
OpenEMR,https://opencollective.com/openemr
WWCode Vinnytsia,https://opencollective.com/wwcodevinnytsia
GENIE,https://opencollective.com/gorge-genie
Mark Text,https://opencollective.com/marktext
SFTech4Good,https://opencollective.com/sftech4good
marshmallow,https://opencollective.com/marshmallow
DjangoGirls Marseille,https://opencollective.com/djangogirlsmrs
Allure Report,https://opencollective.com/allure-report
AZ social business,https://opencollective.com/azsocialbusiness
hyperHTML,https://opencollective.com/hyperhtml
KoaJS,https://opencollective.com/koajs
Blaze,https://opencollective.com/blaze
WWCode Sydney,https://opencollective.com/wwcodesydney
Tech4Good Southwest Florida,https://opencollective.com/t4swfl
TealWiki,https://opencollective.com/tealwiki
St. Louis Drupal Users Group (STLDUG),https://opencollective.com/drupalstl
OpenMined,https://opencollective.com/openmined
Wiki.js,https://opencollective.com/wikijs
WWCode Brisbane,https://opencollective.com/wwcodebrisbane
MakersGDL,https://opencollective.com/makersgdl
WWCode Los Angeles,https://opencollective.com/wwcodelosangeles
Pony,https://opencollective.com/ponyc
SCION,https://opencollective.com/scion
Oni,https://opencollective.com/oni
xstate,https://opencollective.com/xstate
Phenomic,https://opencollective.com/phenomic
Osmocom,https://opencollective.com/osmocom
,https://opencollective.com/burgerlijst
Women Who Code Cincinnati,https://opencollective.com/wwcodecincinnati
Drupal Recording Initiative,https://opencollective.com/drupal-recording-initiative
JSOxford,https://opencollective.com/jsoxford
Avalonia,https://opencollective.com/avalonia
Boston Code Camp,https://opencollective.com/bostoncodecamp
amethyst,https://opencollective.com/amethyst
Publii,https://opencollective.com/publii
Manyverse,https://opencollective.com/manyverse
JSS,https://opencollective.com/jss
OpenCollective Paris,https://opencollective.com/opencollectiveparis
faker.js,https://opencollective.com/fakerjs
Gentlewomen’s Club Brussels,https://opencollective.com/gwc-brussels
ORY,https://opencollective.com/ory
poi,https://opencollective.com/poi
The Impact Fellowhip,https://opencollective.com/impactfellowship
GraphQL Shield,https://opencollective.com/graphql-shield
SVGR,https://opencollective.com/svgr
WWCode Edinburgh,https://opencollective.com/wwcodeedinburgh
Bootstrap-Vue,https://opencollective.com/bootstrap-vue
acgn-stock,https://opencollective.com/acgn-stock
Women Who Code Richmond,https://opencollective.com/wwcoderichmond
Tessel,https://opencollective.com/tessel
Thessaloniki Java Meetup,https://opencollective.com/skgjug
Readline,https://opencollective.com/readline
React Denver,https://opencollective.com/react-denver
Ghost,https://opencollective.com/ghost
Open Collective UK,https://opencollective.com/uk-collective
ax5ui,https://opencollective.com/ax5ui-kernel
AudioKit,https://opencollective.com/audiokit
LWJGL,https://opencollective.com/lwjgl
Fisk-Vanderbilt Bridge Alumni Network,https://opencollective.com/fvbran
vis.js,https://opencollective.com/vis
Crystal Language,https://opencollective.com/crystal-lang
WWCode Chennai,https://opencollective.com/wwcodechennai
fuse-box,https://opencollective.com/fuse-box
Open Collective,https://opencollective.com/opencollective-oss
gobuster,https://opencollective.com/gobuster
Streamlink,https://opencollective.com/streamlink
react-native-camera,https://opencollective.com/react-native-camera
WWCode Chicago,https://opencollective.com/wwcodechicago
devise_token_auth,https://opencollective.com/devise_token_auth
Avogadro,https://opencollective.com/avogadro
jsbin,https://opencollective.com/jsbin
Michigan Python,https://opencollective.com/michiganpython
Citizen-led economic transition.,https://opencollective.com/reconomycop
isomorphic-git,https://opencollective.com/isomorphic-git
Openwhyd,https://opencollective.com/openwhyd
file-icons,https://opencollective.com/file-icons
WWCode East Bay,https://opencollective.com/wwcodeeastbay
brain.js,https://opencollective.com/brainjs
Analyze Basilicata,https://opencollective.com/analyzebasilicata
OSCurrency,https://opencollective.com/oscurrency
CultureSeed,https://opencollective.com/cultureseed
react-native-router-flux,https://opencollective.com/react-native-router-flux
DiEM25 Spontaneous Collective (DSC) Brussels,https://opencollective.com/dscbrussels
Co-Labs,https://opencollective.com/co-labs
Climate without Borders,https://opencollective.com/climatewborders
AssemblyScript,https://opencollective.com/assemblyscript
Bootstrap Material,https://opencollective.com/material
inferno,https://opencollective.com/inferno
Open Recognition,https://opencollective.com/openrecognition
Data for Good,https://opencollective.com/data_for_good
rom,https://opencollective.com/rom
Shape Shifter,https://opencollective.com/shapeshifter
Cboard - Assistive Communication Board,https://opencollective.com/cboard
NetSquared Vancouver (Net2van),https://opencollective.com/net2van-meetup
Data Pioneers Brussels,https://opencollective.com/datapioneersbrussels
CIN,https://opencollective.com/civicinnovationnetwork
Women Who Code Pune,https://opencollective.com/wwcodepune
Global Challenges Collaboration,https://opencollective.com/globalchallengescollaboration
verdaccio,https://opencollective.com/verdaccio
Network Time Foundation,https://opencollective.com/network-time-foundation
RocketMod,https://opencollective.com/rocketmod
Foynt,https://opencollective.com/foynt
Ithaca Adoption Community,https://opencollective.com/ithacaadoptioncommunity
Grow-IoT,https://opencollective.com/grow-iot
Sunbeam City,https://opencollective.com/sunbeam-city
WWCode Beijing,https://opencollective.com/wwcodebeijing
Expo CLI,https://opencollective.com/expo-cli
Thessaloniki .NET Meetup,https://opencollective.com/thessnetmeetup
Open Miami,https://opencollective.com/openmiami-collective
ReactJS Dallas,https://opencollective.com/reactjs-dallas
Women In Transition,https://opencollective.com/women-in-transition-
material-theme-jetbrains,https://opencollective.com/material-theme-jetbrains
Bruxelles Nord - Sud,https://opencollective.com/bruxelles-nord-sud
Enso,https://opencollective.com/enso
Ant Design Vue,https://opencollective.com/ant-design-vue
Zewo,https://opencollective.com/zewo
RMWC,https://opencollective.com/rmwc
openbabel,https://opencollective.com/openbabel
WWCode Wichita,https://opencollective.com/wwcodewichita
Women Who Code Cleveland,https://opencollective.com/wwcodecleveland
Women Who Code Fort Collins,https://opencollective.com/wwcodefortcollins
WWCode Phoenix,https://opencollective.com/wwcodephoenix
WWCode Shanghai,https://opencollective.com/wwcodeshanghai
WWCode Tampa,https://opencollective.com/wwcodetampa
ReCreate,https://opencollective.com/recreate
jest-puppeteer,https://opencollective.com/jest-puppeteer
Final Form,https://opencollective.com/final-form
Huuman,https://opencollective.com/huuman
Womer,https://opencollective.com/womer
Women Who Code San Diego,https://opencollective.com/wwcodesandiego
Archive Team,https://opencollective.com/archiveteam
NGXS,https://opencollective.com/ngxs
Sustainable Brussels,https://opencollective.com/sustainable-brussels
gitextensions,https://opencollective.com/gitextensions
UserFrosting,https://opencollective.com/userfrosting
UpstatePHP,https://opencollective.com/upstatephp
react-native-image-crop-picker,https://opencollective.com/react-native-image-crop-picker
React Styleguidist,https://opencollective.com/styleguidist
The Lounge,https://opencollective.com/thelounge
Open Ulmus,https://opencollective.com/openulmus
La Conexión,https://opencollective.com/laconexion
react-hot-loader,https://opencollective.com/react-hot-loader
apollo-universal-starter-kit,https://opencollective.com/apollo-universal-starter-kit
Terms of Service; Didn’t Read,https://opencollective.com/tosdr
WWCode Reno/Tahoe,https://opencollective.com/wwcoderenotahoe
MAE Trips,https://opencollective.com/mae-trips-
Emplea.do Job Board,https://opencollective.com/empleo-dot-net
debug,https://opencollective.com/debug
Accel AI Institute,https://opencollective.com/accel-ai
vux,https://opencollective.com/vux
Buttercup,https://opencollective.com/buttercup
SimplyTest.me,https://opencollective.com/simplytestme
The S7 Foundation,https://opencollective.com/thes7foundation
localstack,https://opencollective.com/localstack
RSSHub,https://opencollective.com/rsshub
octotree,https://opencollective.com/octotree
kea,https://opencollective.com/kea
WWCode Kingston,https://opencollective.com/wwcodekingston
WWCode Sacramento,https://opencollective.com/wwcodesacramento
Thessaloníki ReactJS Meetup,https://opencollective.com/skgreactjs
Code Settings Sync,https://opencollective.com/code-settings-sync
tabler,https://opencollective.com/tabler
Hack Portland,https://opencollective.com/hack-portland
compodoc,https://opencollective.com/compodoc
navit,https://opencollective.com/navit
React Starter Kit,https://opencollective.com/react-starter-kit
date-fns,https://opencollective.com/date-fns
Ellie,https://opencollective.com/ellie
Kivy,https://opencollective.com/kivy
Lidarr,https://opencollective.com/lidarr
pnpm,https://opencollective.com/pnpm
Embrace the Journey,https://opencollective.com/embrace-the-journey
Funkwhale,https://opencollective.com/funkwhale
goby,https://opencollective.com/goby
Polar,https://opencollective.com/polar-bookshelf
LimaJS,https://opencollective.com/limajs
hledger,https://opencollective.com/hledger
Startup Yoga NYC,https://opencollective.com/startupyoganyc
WarriorJS,https://opencollective.com/warriorjs
level,https://opencollective.com/level
PumpkinDB,https://opencollective.com/pumpkindb
AMTV Digital Network,https://opencollective.com/amtv-collective
Relax,https://opencollective.com/relax
apiato,https://opencollective.com/apiato
ransack,https://opencollective.com/ransack
React PWA,https://opencollective.com/react-pwa
stylelint,https://opencollective.com/stylelint
WWCode Waterloo,https://opencollective.com/wwcodewaterloo
Operation Code DC,https://opencollective.com/operationcode-dc
opsdroid,https://opencollective.com/opsdroid
NUSMods,https://opencollective.com/nusmods
bedrock,https://opencollective.com/bedrock
Collectif Monnaie Libre,https://opencollective.com/monnaie-libre
XoopsCore,https://opencollective.com/xoopscore
SOCIALMARKET.com,https://opencollective.com/opencoop
.ignore,https://opencollective.com/ignore
FountainJS,https://opencollective.com/fountainjs
opal,https://opencollective.com/opal
javascript-obfuscator,https://opencollective.com/javascript-obfuscator
LolaShare,https://opencollective.com/lolashare
Clipy,https://opencollective.com/clipy
WWCode Melbourne,https://opencollective.com/wwcodemelbourne
Norwich Sharing City,https://opencollective.com/norwichsharingcity
Origin Club,https://opencollective.com/originclub
tellform,https://opencollective.com/tellform
WECO.IO,https://opencollective.com/weco
dat,https://opencollective.com/dat
redis-oplog,https://opencollective.com/redis-oplog
react-spring,https://opencollective.com/react-spring
Symfony Diversity collective for speaker mentoring,https://opencollective.com/symfony-diversity-speaker-mentoring
Sounds and Colors Radio,https://opencollective.com/soundsandcolors
linter,https://opencollective.com/linter
MongoKitten,https://opencollective.com/mongokitten
WordPress Gwinnett,https://opencollective.com/wordpress-gwinnett
cockpit,https://opencollective.com/cockpit
emotion,https://opencollective.com/emotion
Trill,https://opencollective.com/trill
electron-react-boilerplate,https://opencollective.com/electron-react-boilerplate-594
Foodfightvt,https://opencollective.com/foodfightvt
Cheese.lab Industries,https://opencollective.com/cheeselab
Mastodon.me.uk,https://opencollective.com/mastodon-me-uk
Queen City Hacks,https://opencollective.com/queencityhacks
cheton,https://opencollective.com/cheton
OpenJSCAD.org,https://opencollective.com/openjscad
ElectricSheep Podcast,https://opencollective.com/electricsheep
De Burgers van Grobbendonk en Bouwel,https://opencollective.com/de-burgers-van-grobbendonk-en-bouwel
Boulder React Meetup,https://opencollective.com/boulder-react-meetup
PyPy,https://opencollective.com/pypy
imaginary,https://opencollective.com/imaginary
ifme,https://opencollective.com/ifme
ioredis,https://opencollective.com/ioredis
ELMS: Learning Network,https://opencollective.com/elmsln
Bludit,https://opencollective.com/bludit
ng-toolkit,https://opencollective.com/ng-toolkit
CameraKit-Android,https://opencollective.com/camerakit-android
Paris.js,https://opencollective.com/parisjs
electron-react-boilerplate,https://opencollective.com/electron-react-boilerplate
Altair GraphQL Client,https://opencollective.com/altair
WWCode Paris,https://opencollective.com/wwcodeparis
GameCraft,https://opencollective.com/gamecraft-foundation-clg
Sous-Chefs,https://opencollective.com/sous-chefs
FreshOS,https://opencollective.com/freshos
docsify,https://opencollective.com/docsify
Operation Code Hampton Roads,https://opencollective.com/operationcodehr
CameraView,https://opencollective.com/cameraview
Auto-Keras,https://opencollective.com/autokeras
lint-staged,https://opencollective.com/lint-staged
Kingfisher,https://opencollective.com/kingfisher
Colyseus,https://opencollective.com/colyseus
d3.js Bay Area,https://opencollective.com/d3bayarea
redbaron,https://opencollective.com/redbaron
pixelfed,https://opencollective.com/pixelfed-528
WWCode Belo Horizonte,https://opencollective.com/wwcodebelohorizonte
WWCode Gujarat,https://opencollective.com/wwcodegujarat
WWCode Charleston,https://opencollective.com/wwcodecharleston
WWCode Al-Jazair,https://opencollective.com/wwcodealjazair
WhitestormJS Engine,https://opencollective.com/whitestormjs
Data Pioneers London,https://opencollective.com/datapioneerslondon
Harissa,https://opencollective.com/harissa
tntsearch,https://opencollective.com/tntsearch
OctoLinker,https://opencollective.com/octolinker
peerjs,https://opencollective.com/peer
Spina,https://opencollective.com/spina
goreleaser,https://opencollective.com/goreleaser
En Marche.be,https://opencollective.com/enmarchebe
Beer Burger,https://opencollective.com/brusselsbeerburger
iview,https://opencollective.com/iview
Operation Code: Boston,https://opencollective.com/operationcodeboston
Webform module for Drupal,https://opencollective.com/webform
GORM,https://opencollective.com/gorm
Metapsychosis,https://opencollective.com/metapsychosis
Chimp.js,https://opencollective.com/chimp
Kendraio,https://opencollective.com/kendraio
NoPlasticApp,https://opencollective.com/noplasticapp
Kendraio DAW,https://opencollective.com/kendraio-daw
Fellows.chat,https://opencollective.com/fellows_chat
projectM,https://opencollective.com/projectm
http4k,https://opencollective.com/http4k
Muterra,https://opencollective.com/golix
Property Web Builder,https://opencollective.com/property_web_builder
MyBB,https://opencollective.com/mybb
Burger Beweging,https://opencollective.com/burgerbeweging
Hoa Project,https://opencollective.com/hoaproject
git-point,https://opencollective.com/git-point
fela,https://opencollective.com/fela
Ts.ED,https://opencollective.com/tsed
World Peace Now,https://opencollective.com/worldpeacenow
Reakit,https://opencollective.com/reakit
SweetAlert,https://opencollective.com/sweetalert
perth indymedia,https://opencollective.com/perthindymedia
sizzy,https://opencollective.com/sizzy
FKA,https://opencollective.com/formerlyknownas
Taiga,https://opencollective.com/taiga
Bevry,https://opencollective.com/bevry
react-dropzone,https://opencollective.com/react-dropzone
Blockchain Garage Brussels,https://opencollective.com/blockchain-garage-brussels
GraphQL NYC,https://opencollective.com/graphqlnyc
Heapclub,https://opencollective.com/heapclub
Crypto UI,https://opencollective.com/crypto-ui
MegaBoilerplate,https://opencollective.com/megaboilerplate
Developing-iOS-10-Apps-with-Swift,https://opencollective.com/developing-ios-10-apps-with-swift
OWASP-Nettacker,https://opencollective.com/owasp-nettacker
Split.js,https://opencollective.com/splitjs
redux-form,https://opencollective.com/redux-form
Haxe,https://opencollective.com/haxe
MadJS,https://opencollective.com/madisonjavascript
Thinking Liverpool,https://opencollective.com/thinking-liverpool
koel,https://opencollective.com/koel
Gathering Hall Studios,https://opencollective.com/gathering-hall-studios
ff4j,https://opencollective.com/ff4j
sharpneat,https://opencollective.com/sharpneat
cljdoc,https://opencollective.com/cljdoc
QtSharp,https://opencollective.com/qtsharp
jqplay,https://opencollective.com/jqplay
Humanitarian AI,https://opencollective.com/humanitarian-ai
redom,https://opencollective.com/redom
ngx-infinite-scroll,https://opencollective.com/ngx-infinite-scroll
laravel-admin,https://opencollective.com/laravel-admin
AdNauseam,https://opencollective.com/adnauseam
dep,https://opencollective.com/dep
CommonsWealth Network,https://opencollective.com/commonswealth-network
Cypress.io,https://opencollective.com/cypressio
distributed,https://opencollective.com/distributed
EasyClangComplete,https://opencollective.com/easyclangcomplete
vue-admin,https://opencollective.com/vue-admin
fabio,https://opencollective.com/fabio
Fider,https://opencollective.com/fider
grapher,https://opencollective.com/grapher
Front-End-Checklist,https://opencollective.com/front-end-checklist
Catel,https://opencollective.com/catel
Material Theme for VS Code,https://opencollective.com/vsc-material-theme
ng-packagr,https://opencollective.com/ng-packagr
React Native Debugger,https://opencollective.com/react-native-debugger
magit,https://opencollective.com/magit
cerebro,https://opencollective.com/cerebro
Open Source Diversity,https://opencollective.com/opensourcediversity
BioJulia,https://opencollective.com/biojulia
NServiceBusExtensions,https://opencollective.com/nservicebusextensions
react-ace,https://opencollective.com/react-ace
react-redux-firebase,https://opencollective.com/react-redux-firebase
webhook,https://opencollective.com/webhook
Hoverboard,https://opencollective.com/hoverboard
Operation Code PDX,https://opencollective.com/operationcodepdx
listes citoyennes,https://opencollective.com/listescitoyennes
Refugees Got Talent,https://opencollective.com/refugeesgottalent
fast-xml-parser,https://opencollective.com/fast-xml-parser
ssh,https://opencollective.com/ssh
